Thu Oct 05 09:17:58 2017    prof.txt

         3128204 function calls (3124911 primitive calls) in 5.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.001    0.000    0.002    0.000 pyparsing.py:3238(__init__)
        1    0.001    0.001    0.004    0.004 driver.py:12(<module>)
        1    0.001    0.001    0.003    0.003 decorators.py:1(<module>)
     4755    0.001    0.000    0.001    0.000 {abs}
        1    0.001    0.001    0.002    0.002 mlab.py:142(<module>)
        1    0.001    0.001    0.006    0.006 rcsetup.py:15(<module>)
      408    0.001    0.000    0.013    0.000 sre_compile.py:178(_compile_charset)
        1    0.001    0.001    0.003    0.003 triangulation.py:1(<module>)
        1    0.001    0.001    0.001    0.001 flinalg.py:5(<module>)
1057/1053    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.004    0.004 misc.py:10(<module>)
        1    0.001    0.001    0.005    0.005 parser.py:29(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:6(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:60(<module>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
        1    0.001    0.001    0.012    0.012 iterators.py:33(<module>)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of 'file' objects}
        1    0.001    0.001    0.001    0.001 linesearch.py:13(<module>)
        1    0.001    0.001    0.001    0.001 slsqp.py:14(<module>)
      235    0.001    0.000    0.002    0.000 decorator.py:154(update)
        2    0.001    0.001    0.002    0.001 six.py:1(<module>)
        1    0.001    0.001    0.003    0.003 numerictypes.py:82(<module>)
        1    0.001    0.001    0.005    0.005 connectivity.py:4(<module>)
        2    0.001    0.001    0.002    0.001 base.py:1(<module>)
        1    0.001    0.001    0.002    0.002 afm.py:34(<module>)
        1    0.001    0.001    0.002    0.002 axis.py:3(<module>)
        1    0.001    0.001    0.005    0.005 patches.py:3(<module>)
        1    0.001    0.001    0.001    0.001 algebraicconnectivity.py:86(_CholeskySolver)
     4788    0.001    0.000    0.001    0.000 digraph.py:1148(is_directed)
      430    0.001    0.000    0.006    0.000 copy.py:66(copy)
        1    0.001    0.001    0.003    0.003 fftpack.py:32(<module>)
        1    0.001    0.001    0.003    0.003 grammar.py:13(<module>)
        1    0.001    0.001    0.002    0.002 pickle.py:25(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:52(<module>)
      407    0.001    0.000    0.004    0.000 artist.py:911(get_valid_values)
     3223    0.001    0.000    0.002    0.000 sre_parse.py:195(match)
        1    0.001    0.001    0.001    0.001 helper.py:4(<module>)
        1    0.001    0.001    0.001    0.001 polynomial.py:56(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:17(<module>)
        1    0.001    0.001    0.020    0.020 misc.py:1(<module>)
        1    0.001    0.001    0.044    0.044 _ellip_harm.py:1(<module>)
      258    0.001    0.000    0.053    0.000 re.py:226(_compile)
        1    0.001    0.001    0.001    0.001 subprocess.py:14(<module>)
        1    0.001    0.001    0.001    0.001 backend_agg.py:21(<module>)
        1    0.001    0.001    0.055    0.055 type_check.py:3(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:19(<module>)
        1    0.001    0.001    0.001    0.001 compressed.py:1(<module>)
        1    0.001    0.001    0.001    0.001 maxflow.py:4(<module>)
       19    0.001    0.000    0.001    0.000 {nt._isdir}
        1    0.001    0.001    0.001    0.001 matchhelpers.py:3(<module>)
