Thu Oct 05 08:35:37 2017    prof.txt

         3422957 function calls (3419664 primitive calls) in 5.772 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1057/1053    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.001    0.001 flinalg.py:5(<module>)
        1    0.001    0.001    0.001    0.001 slsqp.py:14(<module>)
      408    0.001    0.000    0.013    0.000 sre_compile.py:178(_compile_charset)
        1    0.001    0.001    0.002    0.002 __init__.py:6(<module>)
        1    0.001    0.001    0.006    0.006 parser.py:29(<module>)
     9529    0.001    0.000    0.001    0.000 {method 'reverse' of 'list' objects}
        1    0.001    0.001    0.004    0.004 driver.py:12(<module>)
        1    0.001    0.001    0.001    0.001 polynomial.py:56(<module>)
        1    0.001    0.001    0.001    0.001 linesearch.py:13(<module>)
        1    0.001    0.001    0.004    0.004 misc.py:10(<module>)
      235    0.001    0.000    0.002    0.000 decorator.py:154(update)
        2    0.001    0.001    0.002    0.001 six.py:1(<module>)
        1    0.001    0.001    0.013    0.013 iterators.py:33(<module>)
        2    0.001    0.001    0.002    0.001 base.py:1(<module>)
        1    0.001    0.001    0.005    0.005 connectivity.py:4(<module>)
        1    0.001    0.001    0.001    0.001 matchhelpers.py:3(<module>)
        1    0.001    0.001    0.001    0.001 backend_agg.py:21(<module>)
      407    0.001    0.000    0.004    0.000 artist.py:911(get_valid_values)
        1    0.001    0.001    0.002    0.002 pickle.py:25(<module>)
        1    0.001    0.001    0.002    0.002 axis.py:3(<module>)
        1    0.001    0.001    0.005    0.005 patches.py:3(<module>)
        1    0.001    0.001    0.001    0.001 bdf.py:1(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:52(<module>)
        1    0.001    0.001    0.001    0.001 _ccallback.py:1(<module>)
        1    0.001    0.001    0.003    0.003 __init__.py:19(<module>)
      430    0.001    0.000    0.006    0.000 copy.py:66(copy)
        1    0.001    0.001    0.001    0.001 subprocess.py:14(<module>)
        1    0.001    0.001    0.002    0.002 numerictypes.py:82(<module>)
        1    0.001    0.001    0.045    0.045 _ellip_harm.py:1(<module>)
     3223    0.001    0.000    0.002    0.000 sre_parse.py:195(match)
        1    0.001    0.001    0.001    0.001 helper.py:4(<module>)
      258    0.001    0.000    0.053    0.000 re.py:226(_compile)
        1    0.001    0.001    0.053    0.053 type_check.py:3(<module>)
        1    0.001    0.001    0.001    0.001 py3k.py:4(<module>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
        1    0.001    0.001    0.023    0.023 misc.py:1(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:17(<module>)
        1    0.001    0.001    0.001    0.001 compressed.py:1(<module>)
        1    0.001    0.001    0.001    0.001 algebraicconnectivity.py:86(_CholeskySolver)
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:10(<module>)
      236    0.001    0.000    0.001    0.000 pyparsing.py:1121(__init__)
        1    0.001    0.001    0.001    0.001 nx_pydot.py:15(<module>)
        1    0.001    0.001    0.001    0.001 maxflow.py:4(<module>)
       19    0.001    0.000    0.001    0.000 {nt._isdir}
        1    0.001    0.001    0.002    0.002 fftpack.py:32(<module>)
        1    0.001    0.001    0.001    0.001 _numdiff.py:1(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:48(<module>)
     1756    0.001    0.000    0.001    0.000 {hasattr}
        1    0.001    0.001    0.001    0.001 _pylab_helpers.py:3(<module>)
        1    0.001    0.001    0.001    0.001 newbytes.py:6(<module>)
      123    0.001    0.000    0.001    0.000 inspect.py:845(formatargspec)
        3    0.001    0.000    0.001    0.000 {nt.open}
        1    0.001    0.001    0.001    0.001 lsq_linear.py:1(<module>)
        1    0.001    0.001    0.001    0.001 suite.py:252(_ErrorHolder)
     1509    0.001    0.000    0.001    0.000 {range}
      868    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        1    0.001    0.001    0.007    0.007 random.py:40(<module>)
        1    0.001    0.001    0.001    0.001 loader.py:1(<module>)
      118    0.001    0.000    0.011    0.000 decorator.py:246(decorator)
        1    0.001    0.001    0.013    0.013 tokenize.py:23(<module>)
       11    0.001    0.000    0.001    0.000 {method 'close' of 'file' objects}
      581    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.001    0.001 greedy_coloring.py:4(<module>)
        1    0.001    0.001    0.071    0.071 add_newdocs.py:10(<module>)
     1453    0.001    0.000    0.001    0.000 artist.py:973(is_alias)
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
        1    0.001    0.001    0.015    0.015 decorators.py:15(<module>)
        6    0.001    0.000    0.001    0.000 __init__.py:219(_releaseLock)
        1    0.001    0.001    0.001    0.001 triangulate.py:1(<module>)
        2    0.001    0.000    0.001    0.000 function_base.py:1(<module>)
       11    0.001    0.000    0.013    0.001 artist.py:1018(pprint_setters)
      973    0.001    0.000    0.001    0.000 pickle.py:1006(load_tuple2)
      429    0.001    0.000    0.007    0.000 pyparsing.py:1144(copy)
     1676    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.001    0.001    0.002    0.002 sysconfig.py:10(<module>)
        1    0.001    0.001    0.003    0.003 lines.py:4(<module>)
       96    0.001    0.000    0.005    0.000 sre_compile.py:359(_compile_info)
       66    0.001    0.000    0.001    0.000 cm.py:31(revcmap)
       92    0.001    0.000    0.001    0.000 docstring.py:38(__call__)
        1    0.001    0.001    0.001    0.001 dis.py:1(<module>)
        2    0.001    0.000    0.001    0.001 _version.py:7(<module>)
      283    0.001    0.000    0.002    0.000 function_base.py:4514(add_newdoc)
        1    0.001    0.001    0.001    0.001 _linprog.py:16(<module>)
     4752    0.001    0.000    0.001    0.000 kmeantools.py:290(<lambda>)
        1    0.001    0.001    0.054    0.054 matfuncs.py:3(<module>)
        1    0.001    0.001    0.001    0.001 ticker.py:123(<module>)
        2    0.001    0.000    0.003    0.001 decorator.py:33(<module>)
        1    0.001    0.001    0.002    0.002 optimize.py:17(<module>)
        1    0.001    0.001    0.001    0.001 _distributor_init.py:2(<module>)
       11    0.001    0.000    0.001    0.000 {open}
       22    0.001    0.000    0.077    0.004 kmeantools.py:102(remove_chroma)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
      404    0.001    0.000    0.001    0.000 sre_compile.py:354(_simple)
        1    0.001    0.001    0.006    0.006 newrange.py:19(<module>)
        1    0.001    0.001    0.003    0.003 polynomial.py:4(<module>)
      489    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        1    0.001    0.001    0.031    0.031 _bvp.py:1(<module>)
     2009    0.001    0.000    0.001    0.000 {marshal.loads}
        1    0.001    0.001    0.064    0.064 classic.py:12(<module>)
        1    0.001    0.001    0.002    0.002 pyplot.py:2057(_setup_pyplot_info_docstrings)
        1    0.001    0.001    0.001    0.001 trf_linear.py:2(<module>)
        1    0.001    0.001    0.001    0.001 _trustregion_dogleg.py:1(<module>)
        1    0.001    0.001    0.001    0.001 __init__.py:868(rc_params_from_file)
       96    0.001    0.000    0.025    0.000 sre_parse.py:675(parse)
     1934    0.001    0.000    0.001    0.000 sre_parse.py:126(__len__)
        2    0.001    0.000    0.001    0.000 __init__.py:9(<module>)
      332    0.001    0.000    0.001    0.000 pickle.py:870(marker)
     1571    0.001    0.000    0.001    0.000 {setattr}
     1295    0.001    0.000    0.001    0.000 sre_parse.py:138(append)
        1    0.000    0.000    0.001    0.001 graph.py:9(<module>)
        1    0.000    0.000    0.012    0.012 tokenize.py:26(<module>)
       22    0.000    0.000    0.002    0.000 arraysetops.py:250(_unique1d)
        1    0.000    0.000    0.001    0.001 trf.py:95(<module>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.002    0.002 _trustregion_krylov.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lgmres.py:4(<module>)
       22    0.000    0.000    0.008    0.000 kmeantools.py:81(centroid_histogram)
        1    0.000    0.000    0.003    0.003 uuid.py:45(<module>)
      952    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
